axis,dataset,x,size,n_cells,r,train_path_over_geo,shell,temperature,p_obs,success,valid,reached,len_ratio,len_over_geo,val_success,n_params,pos_linear,pos_relu_2500,pos_spline_2500,pos_gap_2500,pos_relu_10000,pos_spline_10000,pos_gap_10000,pos_sae,dir_linear,dir_relu_2500,dir_spline_2500,dir_gap_2500,dir_relu_10000,dir_spline_10000,dir_gap_10000,dir_sae
shell,ring_shell015,0.15,L6_d256,2380,0.25,1.0,0.15,0.0,0.0,0.992,0.993,0.999,1.011566892846431,1.011566892846431,0.996,5358336,0.6266740560531616,0.6925696730613708,0.7199802398681641,0.027410566806793213,0.7667436599731445,0.8085465431213379,0.04180288314819336,0.8003919720649719,0.22095811367034912,0.2695816159248352,0.28243210911750793,0.01285049319267273,0.38024774193763733,0.35426560044288635,-0.025982141494750977,0.4327521324157715
shell,ring_shell030,0.3,L3_d64,2985,0.25,1.0,0.3,0.0,0.0,0.98,0.984,0.993,1.0398929875581582,1.0398929875581582,0.984,344064,0.5473883748054504,0.7758404612541199,0.7442154884338379,-0.03162497282028198,0.8603549003601074,0.8621349930763245,0.001780092716217041,0.8923490643501282,0.18246322870254517,0.3378799855709076,0.3108697235584259,-0.02701026201248169,0.47037753462791443,0.42674562335014343,-0.043631911277770996,0.45900359749794006
shell,ring_shell030,0.3,L6_d256,2985,0.25,1.0,0.3,0.0,0.0,0.992,0.992,1.0,1.0187868207516335,1.0187868207516335,0.993,5511936,0.6308383941650391,0.6858112812042236,0.7244882583618164,0.03867697715759277,0.778498649597168,0.8137311935424805,0.0352325439453125,0.7988460063934326,0.18800382316112518,0.24993157386779785,0.25380733609199524,0.0038757622241973877,0.3549409806728363,0.33125415444374084,-0.02368682622909546,0.42227450013160706
shell,ring_shell060,0.6,L3_d64,3897,0.25,1.0,0.6,0.0,0.0,0.953,0.954,0.993,1.0541526999023818,1.0541526999023818,0.969,402112,0.521351158618927,0.7723426222801208,0.7512483596801758,-0.02109426259994507,0.8545145988464355,0.8593406081199646,0.004826009273529053,0.8731533885002136,0.19038258492946625,0.35156551003456116,0.3120279014110565,-0.03953760862350464,0.4581259787082672,0.41697457432746887,-0.04115140438079834,0.44542253017425537
shell,ring_shell060,0.6,L6_d256,3897,0.25,1.0,0.6,0.0,0.0,0.982,0.982,1.0,1.024686871149395,1.024686871149395,0.989,5744128,0.5973694920539856,0.6492133736610413,0.7089569568634033,0.05974358320236206,0.7612977027893066,0.799738347530365,0.03844064474105835,0.7791656851768494,0.1644805520772934,0.24327366054058075,0.2486974447965622,0.005423784255981445,0.33064186573028564,0.29878339171409607,-0.031858474016189575,0.36313900351524353
temperature,ring_r025,0.0,L3_d64,1926,0.25,1.0,0.0,0.0,0.0,0.987,0.989,0.995,1.0270824455543817,1.0270824455543817,0.986,276608,0.5278158783912659,0.7822299599647522,0.7409289479255676,-0.04130101203918457,0.8758528232574463,0.8821393847465515,0.006286561489105225,0.9173890948295593,0.19295088946819305,0.3579220771789551,0.30843257904052734,-0.049489498138427734,0.49827221035957336,0.4431636333465576,-0.05510857701301575,0.48304644227027893
temperature,ring_r025,0.0,L6_d256,1926,0.25,1.0,0.0,0.0,0.0,0.995,0.996,0.999,1.0064598745283595,1.0064598745283595,0.997,5242112,0.6587861180305481,0.7227478623390198,0.7592213749885559,0.03647351264953613,0.7934265732765198,0.8341681361198425,0.040741562843322754,0.8364853858947754,0.24905067682266235,0.29775968194007874,0.30611559748649597,0.008355915546417236,0.3912823498249054,0.3616425096988678,-0.029639840126037598,0.44407495856285095
temperature,ring_T025,0.25,L3_d64,1926,0.25,1.145593523979187,0.0,0.25,0.0,0.995,0.996,0.995,0.918429195090811,1.0521465381294504,0.993,277568,0.7048816680908203,0.8924899101257324,0.8766714930534363,-0.015818417072296143,0.950462281703949,0.954714834690094,0.0042525529861450195,0.9722506403923035,0.25532108545303345,0.3814636170864105,0.3505725562572479,-0.030891060829162598,0.4624735414981842,0.4434291422367096,-0.01904439926147461,0.4417625963687897
temperature,ring_T025,0.25,L6_d256,1926,0.25,1.145593523979187,0.0,0.25,0.0,0.998,0.998,0.998,0.9341284950323026,1.07013155447343,0.999,5245952,0.6910380721092224,0.7713220119476318,0.7977607846260071,0.026438772678375244,0.8486550450325012,0.8795239329338074,0.030868887901306152,0.902498722076416,0.2100180983543396,0.2529192864894867,0.25632432103157043,0.0034050345420837402,0.32694992423057556,0.29899463057518005,-0.027955293655395508,0.3841933310031891
temperature,ring_T05,0.5,L3_d64,1926,0.25,1.454681158065796,0.0,0.5,0.0,0.941,0.942,0.941,0.9242164159850206,1.344440206308509,0.94,279296,0.7309829592704773,0.9219831824302673,0.9128425717353821,-0.009140610694885254,0.9628861546516418,0.9637596011161804,0.0008734464645385742,0.9763001799583435,0.17266438901424408,0.26252061128616333,0.23296479880809784,-0.02955581247806549,0.3177975118160248,0.29629722237586975,-0.02150028944015503,0.2956325113773346
