num_functions,num_edges,num_indep_funcs,presence_+-,presence_><,presence_][,max_control,dag_equivalence_class,labeled_graph_hash,tt_size_4_count,tt_size_4_OR,tt_size_8_count,tt_size_8_tt_sym_0,tt_size_8_tt_sym_1,tt_size_8_tt_sym_2,tt_size_4_XOR,tt_size_2_count,tt_size_2_tt_sym_0,tt_size_2_balanced,tt_size_4_NOT_A_OR_B,tt_size_4_A_OR_NOT_B,tt_size_8_balanced,tt_size_4_XNOR,tt_size_4_NAND,tt_size_4_NOR,tt_size_4_NOT_A_AND_B,tt_size_4_AND,tt_size_4_A_AND_NOT_B
3,8,0,1,0,0,3,70e1d4e118d076514296ccf0f2db8f71,2126aa829643dcfef46ff3db78f322a8,1.0,other,2.0,3.0,3.0,3.0,other,other,other,other,other,other,other,other,2.0,other,other,other,other
3,8,0,1,0,0,3,67d4c61d1d0b4878f2fe5d9b66186db9,ecf3823d5a4d59543a2935b66fbdec06,1.0,other,2.0,3.0,3.0,3.0,other,other,other,other,other,other,other,other,other,2.0,other,other,other
3,other,other,1,0,0,3,39751a061542377f4e2a0beb0c8309ac,49ff3d68b03970787bff12732c915d7d,1.0,2.0,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other
3,8,0,1,0,0,3,f432d6b52c5184fc71c9b55f7e823cd0,13f2efed502683c45be6ed5e712775c8,1.0,other,2.0,3.0,3.0,3.0,other,other,other,other,2.0,other,other,other,other,other,other,other,other
3,8,0,1,0,0,3,67d4c61d1d0b4878f2fe5d9b66186db9,409ada3bfac14717c01a3243ae9aa9cf,1.0,other,2.0,3.0,3.0,3.0,other,other,other,other,other,2.0,other,other,other,other,other,other,other
other,other,0,1,0,0,3,other,36c18a5eadbddf5f5730a1298f7bfea3,1.0,other,other,other,other,other,other,other,other,other,2.0,other,2.0,other,other,other,other,other,other
3,other,0,1,0,0,3,other,other,other,other,other,other,other,other,other,other,other,other,other,other,2.0,other,other,other,other,other,other
3,8,0,1,0,0,3,f432d6b52c5184fc71c9b55f7e823cd0,6973943555b3bb838d763876c93538fe,1.0,other,2.0,3.0,3.0,3.0,other,other,other,other,other,other,other,2.0,other,other,other,other,other
3,8,0,1,0,0,3,70e1d4e118d076514296ccf0f2db8f71,2126aa829643dcfef46ff3db78f322a8,1.0,other,2.0,3.0,3.0,3.0,other,other,other,other,other,other,other,2.0,other,other,other,other,other
3,other,0,1,0,0,other,other,other,other,other,other,other,other,other,other,1.0,2.0,2.0,other,other,other,2.0,other,other,other,other,other
